Wavelength	A1	A5
1161	0.599184434	0.287455905
1164	0.592042922	0.296973895
1166	0.574904563	0.303849513
1168	0.551441231	0.30829877
1170	0.523678731	0.30993749
1172	0.499542482	0.310799111
1175	0.480435012	0.311304233
1177	0.468397099	0.312554729
1179	0.461010662	0.314980262
1181	0.462180802	0.318372331
1183	0.464307738	0.322040276
1185	0.474297672	0.327217255
1188	0.486230207	0.332995403
1190	0.502499035	0.339636313
1192	0.520777281	0.34619279
1194	0.540422029	0.352685955
1196	0.555311971	0.357062282
1198	0.566699236	0.359865675
1201	0.575133197	0.361089665
1203	0.589721941	0.363415675
1205	0.600034324	0.36370791
1207	0.616743572	0.365473335
1209	0.635308711	0.370138424
1212	0.652281126	0.376639136
1214	0.673522841	0.387065503
1216	0.690848544	0.398773668
1218	0.702904326	0.41107765
1220	0.712901478	0.423833422
1222	0.719497032	0.433019899
1225	0.726509004	0.437915649
1227	0.726592793	0.434552092
1229	0.728314097	0.427204806
1231	0.725937972	0.415268519
1233	0.719323272	0.399992996
1235	0.716461564	0.386897032
1238	0.708333257	0.375108743
1240	0.700679382	0.367133794
1242	0.692953603	0.363665823
1244	0.684989433	0.361656931
1246	0.677577416	0.360675228
1248	0.670183235	0.35795111
1251	0.661782967	0.352013003
1253	0.653087915	0.341991229
1255	0.644414911	0.328650922
1257	0.638146771	0.31494638
1259	0.630929824	0.300121503
1261	0.625076091	0.286234123
1264	0.618661993	0.276491711
1266	0.616080212	0.270344149
1268	0.615920582	0.270427768
1270	0.618875933	0.275745188
1272	0.622697848	0.286108491
1274	0.631732661	0.30169611
1276	0.645644072	0.320812722
1279	0.666464986	0.344329237
1281	0.696854146	0.369825583
1283	0.730683937	0.394631848
1285	0.770350816	0.419382466
1287	0.814354073	0.44095872
1289	0.856843272	0.460462658
1292	0.895637125	0.475475265
1294	0.927991681	0.48578115
1296	0.952754993	0.489277711
1298	0.961229289	0.48426405
1300	0.955070879	0.472276153
1302	0.937029382	0.452788992
1304	0.904812081	0.427467397
1307	0.869196172	0.400294865
1309	0.834195738	0.373227584
1311	0.80083683	0.349361751
1313	0.779181261	0.332003107
1315	0.774088141	0.324842444
1317	0.783332315	0.326428724
1320	0.798483665	0.338383375
1322	0.816609365	0.360065831
1324	0.833560502	0.391575854
1326	0.843817757	0.433611267
1328	0.840089999	0.479143024
1330	0.828810758	0.528677254
1332	0.802971797	0.573442122
1335	0.774524728	0.612649527
1337	0.75013054	0.644816396
1339	0.72995442	0.665996485
1341	0.71970419	0.677349394
1343	0.716206608	0.678250121
1345	0.720035613	0.670861027
1347	0.722135486	0.65517566
1350	0.718204605	0.631524341
1352	0.714653581	0.605272089
1354	0.700197515	0.572604096
1356	0.681823002	0.540797553
1358	0.663253488	0.512047174
1360	0.641931282	0.487132661
1362	0.625161069	0.468092376
1364	0.609108801	0.454305322
1367	0.601109106	0.447862638
1369	0.595535997	0.444228383
1371	0.596013668	0.446925265
1373	0.6018993	0.452246694
1375	0.609942125	0.459118699
1377	0.619668447	0.464961412
1379	0.630458181	0.467962683
1382	0.634559972	0.466880887
1384	0.632257832	0.462280936
1386	0.622073139	0.455089469
1388	0.610770596	0.451393089
1390	0.597195121	0.449609743
1392	0.580183523	0.452506257
1394	0.566862667	0.461351323
1396	0.556144529	0.475143163
1399	0.551544182	0.490884482
1401	0.550754284	0.50922484
1403	0.551914008	0.527222032
1405	0.555939986	0.544200557
1407	0.5607117	0.558103573
1409	0.567937984	0.56954238
1411	0.576187607	0.573814461
1413	0.58555987	0.572306237
1416	0.602023017	0.568563883
1418	0.621797543	0.560824118
1420	0.646837474	0.55327073
1422	0.676045949	0.547315848
1424	0.707042081	0.546086453
1426	0.734800797	0.552579062
1428	0.758981709	0.572960948
1430	0.779522226	0.61383976
1433	0.793130329	0.67307773
1435	0.79777905	0.744000454
1437	0.798036725	0.82084047
1439	0.792263893	0.889411739
1441	0.782584208	0.944839303
1443	0.771272469	0.976598175
1445	0.753386111	0.979875546
1447	0.729021249	0.953961358
1449	0.703252266	0.902752471
1452	0.67213445	0.831463762
1454	0.637655384	0.744579195
1456	0.596885528	0.644568679
1458	0.560512134	0.543551364
1460	0.524868361	0.446331289
1462	0.496620495	0.36455182
1464	0.472008361	0.29875953
1466	0.455335127	0.251441211
1468	0.443403944	0.220114978
1471	0.432678535	0.198573589
1473	0.422671284	0.184106353
1475	0.413476835	0.173401241
1477	0.404106367	0.164362957
1479	0.395717866	0.157538506
1481	0.382944003	0.150679371
1483	0.370633275	0.144480426
1485	0.356958887	0.138056059
1487	0.346893364	0.132603425
1490	0.335196612	0.126742886
1492	0.325202558	0.121306881
1494	0.319095137	0.117345776
1496	0.314560397	0.113176446
1498	0.315619257	0.111159596
1500	0.318271334	0.110362007
1502	0.320837675	0.109753687
1504	0.324043454	0.10940363
1506	0.329998444	0.111893095
1508	0.336480803	0.114617097
1511	0.34392341	0.117864535
1513	0.352997936	0.121353675
1515	0.362029593	0.124786155
1517	0.372446489	0.128308197
1519	0.383152341	0.132170312
1521	0.396222175	0.136003569
1523	0.409164709	0.139502096
1525	0.422432856	0.143111772
1527	0.438580173	0.148218375
1529	0.456716351	0.15327628
1532	0.477022436	0.158737643
1534	0.496166434	0.163471349
1536	0.516042282	0.169348788
1538	0.535053946	0.174833567
1540	0.548754039	0.179791086
1542	0.560265953	0.184028872
1544	0.567213027	0.186670648
1546	0.567020141	0.187878961
1548	0.568144065	0.188302195
1550	0.573673946	0.189408377
1552	0.580755462	0.189726085
1555	0.598176219	0.192493002
1557	0.62234018	0.197533992
1559	0.656295168	0.205351146
1561	0.697025125	0.216813536
1563	0.744726959	0.232046713
1565	0.793466492	0.249365527
1567	0.832860026	0.266942068
1569	0.860510707	0.282086765
1571	0.867960792	0.291003351
1573	0.849189951	0.290299756
1575	0.814943565	0.283181368
1577	0.764062298	0.268040232
1580	0.711598196	0.249237174
1582	0.663283269	0.22984024
1584	0.627374609	0.213644038
1586	0.604427163	0.201976208
1588	0.591759924	0.194755266
1590	0.581011243	0.190071997
1592	0.572479661	0.186271112
1594	0.558772456	0.181242956
1596	0.546717383	0.177505102
1598	0.533742027	0.173131282
1600	0.523176314	0.168741765
1602	0.514637467	0.165281473
1605	0.505885104	0.162247691
1607	0.501669657	0.161093999
1609	0.495621364	0.15886087
1611	0.48575443	0.156463553
1613	0.480505046	0.154447618
1615	0.472818375	0.151796311
1617	0.470223016	0.15053412
1619	0.472411356	0.151142952
1621	0.476275192	0.151950029
1623	0.482036695	0.153572076
1625	0.486497465	0.155143913
1627	0.494592506	0.157814968
1629	0.501008062	0.159347093
1631	0.506680188	0.161531827
1634	0.516524552	0.164554883
1636	0.526710223	0.167209356
1638	0.537614234	0.170585205
1640	0.551843871	0.174727704
1642	0.560015464	0.177509459
1644	0.566666973	0.179230736
1646	0.566119011	0.179351945
1648	0.562345335	0.178599246
1650	0.557475738	0.177539292
1652	0.548045328	0.175610184
1654	0.534059972	0.173485469
1656	0.518137538	0.169993173
1658	0.496966793	0.166019995
1660	0.474926093	0.160580301
1662	0.448148467	0.15489755
1665	0.421225519	0.147760328
1667	0.391612455	0.141141878
1669	0.366060283	0.135158226
1671	0.346177784	0.130853061
1673	0.32602433	0.127316447
1675	0.303958496	0.12428722
1677	0.283205864	0.121202296
1679	0.262407805	0.118380997
1681	0.241720198	0.114874888
1683	0.2214858	0.111063866
1685	0.203123915	0.107150584
1687	0.184842657	0.10425145
1689	0.17046239	0.101803723
1691	0.158828758	0.101090337
1693	0.151505309	0.10342283
1695	0.142380086	0.107175655
1697	0.134785019	0.114719216
1700	0.131470976	0.129227678
1702	0.126791046	0.154138523
1704	0.123692447	0.1960794
1706	0.122320604	0.255434791
1708	0.119235736	0.329998821
1710	0.117256009	0.417762954
1712	0.114888135	0.512164283
1714	0.117172332	0.605563191
1716	0.115031119	0.686471516
1718	0.113694578	0.748954735
1720	0.11432673	0.788779128
1722	0.110348588	0.804787836
1724	0.108513461	0.800810742
1726	0.10702754	0.776424028
1728	0.104200739	0.736498941
1730	0.102662243	0.685847153
1732	0.099680775	0.625850547
1734	0.098781406	0.559234065
1736	0.096300347	0.487491876
1738	0.094329755	0.41308454
1740	0.092207428	0.338744642
1743	0.08794178	0.268431503
1745	0.085262677	0.205771923
1747	0.080252835	0.154166872
1749	0.076922285	0.114985781
1751	0.075344808	0.087816839
1753	0.073144553	0.069755068
1755	0.073047842	0.058857468
1757	0.074301111	0.051654329
1759	0.073982638	0.046559473
1761	0.071837161	0.041999339
1763	0.070819158	0.038740984
1765	0.070292978	0.035866715
1767	0.06556779	0.033449137
1769	0.064730913	0.03159769
1771	0.063934377	0.030388463
1773	0.063339126	0.029190889
1775	0.064642076	0.028623981
1777	0.064462127	0.027638103
1779	0.061334741	0.026297803
1781	0.057993639	0.024988652
1783	0.055381729	0.023581169
1785	0.052200121	0.022131639
1787	0.047142299	0.019997717
1789	0.042324008	0.018368516
1791	0.037603289	0.016861739
1793	0.035553075	0.016212342
1795	0.033560576	0.015530683
1798	0.031507744	0.015165379
1800	0.032413592	0.014588923
1802	0.034655557	0.014685296
1804	0.033504127	0.013869148
1806	0.03267581	0.013376864
1808	0.030436501	0.012240342
1810	0.027653886	0.011239628
1812	0.02639191	0.010733117
