,,,,,,,,,,,,,,,,,actual,48.2,
,,,,,,,,,,,,,,,,,actual,49.7,
,,,,,,,,,,,,,,,,,actual,48.5,
,,,,,,,,,,,,,,,,,actual,56.1,
,,,,,,,,,,,,,,,,,actual,59.6,
,,,,,,,,,,,,,,,,,actual,60.5,
,,,,,,,,,,,,,,,,,actual,58.8,
,,,,,,,,,,,,,,,,,actual,58.5,
,,,,,,,,,,,,,,,,,actual,19.5,
,,,,,,,,,,,,,,,,,actual,22,
,,,,,,,,,,,,,,,,,predict,64.34934283,
,,,,,,,,,,,,,,,,,predict,72.90506105,
,,,,,,,,,,,,,,,,,predict,72.56719095,
,,,,,,,,,,,,,,,,,predict,73.92716231,
,,,,,,,,,,,,,,,,,predict,70.17349466,
,,,,,,,,,,,,,,,,,predict,60.72545837,
,,,,,,,,,,,,,,,,,predict,66.14518602,
,,,,,,,,,,,,,,,,,predict,69.21638211,
,,,,,,,,,,,,,,,,,predict,60.78055349,
,,,,,,,,,,,,,,,,,predict,51.64623698,
,,,,,,,,,,,,,,,,,predict,8.527497109,
,,,,,,,,,,,,,,,,,predict,11.40128869,
,,,,,,,,,,,,,,,,,predict,20.22422343,
,,,,,,,,,,,,,,,,,predict,31.29847032,
,,,,,,,,,,,,,,,,,predict,49.86498402,
,,,,,,,,,,,,,,,,,predict,51.80286028,
,,,,,,,,,,,,,,,,,predict,59.50459416,
,,,,,,,,,,,,,,,,,predict,22.88167762,
,,,,,,,,,,,,,,,,,predict,26.37842753,
,,,,,,,,,,,,,,,,,predict,21.81661673,
,,,,,,,,,,,,,,,,,predict,42.33960512,
,,,,,,,,,,,,,,,,,predict,42.12317155,
,,,,,,,,,,,,,,,,,predict,50.15832386,
,,,,,,,,,,,,,,,,,predict,49.66618807,
,,,,,,,,,,,,,,,,,predict,50.6358324,
,,,,,,,,,,,,,,,,,predict,58.25037453,
,,,,,,,,,,,,,,,,,predict,61.45008502,
,,,,,,,,,,,,,,,,,predict,60.73327872,
,,,,,,,,,,,,,,,,,predict,62.87697193,
,,,,,,,,,,,,,,,,,predict,60.5896973,
,,,,,,,,,,,,,,,,,predict,21.23500657,
,,,,,,,,,,,,,,,,,predict,23.89972248,
